,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1981-01-05 05:00:00 UTC,33.87,33.87,33.75,33.75,159500,0,1,0.50465034946012,0.50465034946012,0.50286239428045,0.50286239428045,8.932e+6
1981-01-06 05:00:00 UTC,32.37,32.37,32.25,32.25,201600,0,1,0.48230090971432,0.48230090971432,0.48051295453465,0.48051295453465,1.12896e+7
1981-01-07 05:00:00 UTC,31,31,30.88,30.88,248600,0,1,0.46188842141316,0.46188842141316,0.46010046623349,0.46010046623349,1.39216e+7
1981-01-08 05:00:00 UTC,30.37,30.37,30.25,30.25,177800,0,1,0.45250165671992,0.45250165671992,0.45071370154026,0.45071370154026,9.9568e+6
1981-01-09 05:00:00 UTC,31.88,32,31.88,31.88,96000,0,1,0.47500009273069,0.47678804791036,0.47500009273069,0.47500009273069,5.376e+6
1981-01-12 05:00:00 UTC,31.88,31.88,31.62,31.62,105800,0,1,0.47500009273069,0.47500009273069,0.47112618984142,0.47112618984142,5.9248e+6
1981-01-13 05:00:00 UTC,30.63,30.63,30.5,30.5,102900,0,1,0.45637555960919,0.45637555960919,0.45443860816456,0.45443860816456,5.7624e+6
1981-01-14 05:00:00 UTC,30.63,30.75,30.63,30.63,63800,0,1,0.45637555960919,0.45816351478886,0.45637555960919,0.45637555960919,3.5728e+6
1981-01-15 05:00:00 UTC,31.25,31.5,31.25,31.25,62800,0,1,0.46561332803746,0.46933823466176,0.46561332803746,0.46561332803746,3.5168e+6
1981-01-16 05:00:00 UTC,31.12,31.12,31,31,59800,0,1,0.46367637659282,0.46367637659282,0.46188842141316,0.46188842141316,3.3488e+6
1981-01-19 05:00:00 UTC,32.87,33,32.87,32.87,185600,0,1,0.48975072296292,0.49168767440755,0.48975072296292,0.48975072296292,1.03936e+7
1981-01-20 05:00:00 UTC,32,32,31.88,31.88,134300,0,1,0.47678804791036,0.47678804791036,0.47500009273069,0.47500009273069,7.5208e+6
1981-01-21 05:00:00 UTC,32.5,32.75,32.5,32.5,71000,0,1,0.48423786115895,0.48796276778325,0.48423786115895,0.48423786115895,3.976e+6
1981-01-22 05:00:00 UTC,32.87,33.13,32.87,32.87,158700,0,1,0.48975072296292,0.49362462585219,0.48975072296292,0.48975072296292,8.8872e+6
1981-01-23 05:00:00 UTC,32.87,33,32.75,32.75,50100,0,1,0.48975072296292,0.49168767440755,0.48796276778325,0.48796276778325,2.8056e+6
1981-01-26 05:00:00 UTC,32.37,32.37,32.25,32.25,110000,0,1,0.48230090971432,0.48230090971432,0.48051295453465,0.48051295453465,6.16e+6
1981-01-27 05:00:00 UTC,32.25,32.25,32,32,105800,0,1,0.48051295453465,0.48051295453465,0.47678804791036,0.47678804791036,5.9248e+6
1981-01-28 05:00:00 UTC,31.12,31.12,31,31,125700,0,1,0.46367637659282,0.46367637659282,0.46188842141316,0.46188842141316,7.0392e+6
1981-01-29 05:00:00 UTC,30,30,29.87,29.87,196000,0,1,0.44698879491596,0.44698879491596,0.44505184347132,0.44505184347132,1.0976e+7
1981-01-30 05:00:00 UTC,28.5,28.5,28.25,28.25,206200,0,1,0.42463935517016,0.42463935517016,0.42091444854586,0.42091444854586,1.15472e+7
