"","Open","High","Low","Close","Volume","Ex-Dividend","Split Ratio","Adj. Open","Adj. High","Adj. Low","Adj. Close","Adj. Volume"
"1970-02-24",55.13,56.75,54.75,54.87,117200,0,1,0.91366567320432,0.94051382104743,0.90736795951272,0.90935671120481,3750400
"1970-02-25",54.87,55.87,53,55.75,149100,0,1,0.90935671120481,0.92592964197216,0.87836533066985,0.92394089028008,4771200
"1970-02-26",55.25,55.25,53.87,54.13,115800,0,1,0.9156544248964,0.9156544248964,0.89278378043745,0.89709274243696,3705600
"1970-02-27",54.13,54.87,54,54,129300,0,1,0.89709274243696,0.90935671120481,0.89493826143721,0.89493826143721,4137600
"1970-03-02",54,54.87,53.5,53.5,159600,0,1,0.89493826143721,0.90935671120481,0.88665179605353,0.88665179605353,5107200
"1970-03-03",53.5,53.75,52.87,53.25,161000,0,1,0.88665179605353,0.89079502874537,0.87621084967009,0.88250856336169,5152000
"1970-03-04",53.25,53.75,53.25,53.5,151200,0,1,0.88250856336169,0.89079502874537,0.88250856336169,0.88665179605353,4838400
"1970-03-05",53.5,54.38,53.5,54,153500,0,1,0.88665179605353,0.9012359751288,0.88665179605353,0.89493826143721,4912000
"1970-03-06",53.75,53.75,53.13,53.5,149400,0,1,0.89079502874537,0.89079502874537,0.88051981166961,0.88665179605353,4780800
"1970-03-09",53.38,53.38,52.87,52.87,240600,0,1,0.88466304436145,0.88466304436145,0.87621084967009,0.87621084967009,7699200
"1970-03-10",52.87,54.13,52.5,53.87,183700,0,1,0.87621084967009,0.89709274243696,0.87007886528617,0.89278378043745,5878400
"1970-03-11",54.38,55,54.38,54.87,113700,0,1,0.9012359751288,0.91151119220456,0.9012359751288,0.90935671120481,3638400
"1970-03-12",54.87,54.87,54,54.62,88800,0,1,0.90935671120481,0.90935671120481,0.89493826143721,0.90521347851297,2841600
"1970-03-13",54.62,54.62,54.13,54.62,80700,0,1,0.90521347851297,0.90521347851297,0.89709274243696,0.90521347851297,2582400
"1970-03-16",54.62,54.62,53.75,54.5,63400,0,1,0.90521347851297,0.90521347851297,0.89079502874537,0.90322472682088,2028800
"1970-03-17",54.5,54.62,54,54.5,47500,0,1,0.90322472682088,0.90521347851297,0.89493826143721,0.90322472682088,1520000
"1970-03-18",54.5,55.75,54.5,55,61200,0,1,0.90322472682088,0.92394089028008,0.90322472682088,0.91151119220456,1958400
"1970-03-19",55,55.5,54.87,55,59500,0,1,0.91151119220456,0.91979765758824,0.90935671120481,0.91151119220456,1904000
"1970-03-20",55,55.25,54.75,55.25,39300,0,1,0.91151119220456,0.9156544248964,0.90736795951272,0.9156544248964,1257600
"1970-03-23",55.25,55.38,54.75,55.13,29100,0,1,0.9156544248964,0.91780890589616,0.90736795951272,0.91366567320432,931200
"1970-03-24",55.25,56.13,55.25,56,29700,0,1,0.9156544248964,0.93023860397167,0.9156544248964,0.92808412297192,950400
"1970-03-25",56.13,57.5,56.13,57.25,85000,0,1,0.93023860397167,0.95294351912295,0.93023860397167,0.94880028643111,2720000
"1970-03-26",57.25,57.62,57,57.38,60400,0,1,0.94880028643111,0.95493227081503,0.94465705373927,0.95095476743087,1932800
"1970-03-30",57.38,57.87,57.13,57.75,47600,0,1,0.95095476743087,0.95907550350687,0.94681153473903,0.95708675181479,1523200
"1970-03-31",57.62,57.62,57.13,57.25,54000,0,1,0.95493227081503,0.95493227081503,0.94681153473903,0.94880028643111,1728000
"1970-04-01",57.38,57.62,57.38,57.5,36500,0,1,0.95095476743087,0.95493227081503,0.95095476743087,0.95294351912295,1168000
"1970-04-02",57.5,57.87,57.25,57.5,52000,0,1,0.95294351912295,0.95907550350687,0.94880028643111,0.95294351912295,1664000
"1970-04-03",57.5,57.75,57,57.75,38100,0,1,0.95294351912295,0.95708675181479,0.94465705373927,0.95708675181479,1219200
"1970-04-06",57.62,57.62,57,57.38,34400,0,1,0.95493227081503,0.95493227081503,0.94465705373927,0.95095476743087,1100800
"1970-04-07",57.38,57.38,56,56.25,69300,0,1,0.95095476743087,0.95095476743087,0.92808412297192,0.93222735566376,2217600
"1970-04-08",56.25,56.38,55.62,56.25,28200,0,1,0.93222735566376,0.93438183666351,0.92178640928032,0.93222735566376,902400
"1970-04-09",56.25,56.87,56.25,56.5,28000,0,1,0.93222735566376,0.94250257273952,0.93222735566376,0.9363705883556,896000
"1970-04-10",56.5,56.5,56,56,29500,0,1,0.9363705883556,0.9363705883556,0.92808412297192,0.92808412297192,944000
"1970-04-13",56,56.25,55.87,55.87,33800,0,1,0.92808412297192,0.93222735566376,0.92592964197216,0.92592964197216,1081600
"1970-04-14",55.87,56,55.25,55.87,36700,0,1,0.92592964197216,0.92808412297192,0.9156544248964,0.92592964197216,1174400
"1970-04-15",55.87,56.25,55.75,56,23400,0,1,0.92592964197216,0.93222735566376,0.92394089028008,0.92808412297192,748800
"1970-04-16",56,56,55.25,55.25,49300,0,1,0.92808412297192,0.92808412297192,0.9156544248964,0.9156544248964,1577600
"1970-04-17",55.13,55.13,54,54.13,80000,0,1,0.91366567320432,0.91366567320432,0.89493826143721,0.89709274243696,2560000
"1970-04-20",54,54,53.38,53.75,35400,0,1,0.89493826143721,0.89493826143721,0.88466304436145,0.89079502874537,1132800
"1970-04-21",54,54.38,54,54.25,34800,0,1,0.89493826143721,0.9012359751288,0.89493826143721,0.89908149412905,1113600
"1970-04-22",54.25,54.75,54,54.5,37900,0,1,0.89908149412905,0.90736795951272,0.89493826143721,0.90322472682088,1212800
"1970-04-23",54.5,54.62,54.25,54.5,32200,0,1,0.90322472682088,0.90521347851297,0.89908149412905,0.90322472682088,1030400
"1970-04-24",54.5,54.5,53.87,54.38,39300,0,1,0.90322472682088,0.90322472682088,0.89278378043745,0.9012359751288,1257600
"1970-04-27",54.38,55.25,53.75,53.75,57300,0,1,0.9012359751288,0.9156544248964,0.89079502874537,0.89079502874537,1833600
"1970-04-28",53.75,54,53.25,53.62,46000,0,1,0.89079502874537,0.89493826143721,0.88250856336169,0.88864054774561,1472000
"1970-04-29",53.62,54.38,53.38,54,62100,0,1,0.88864054774561,0.9012359751288,0.88466304436145,0.89493826143721,1987200
"1970-04-30",54,54.25,53.38,53.62,59900,0,1,0.89493826143721,0.89908149412905,0.88466304436145,0.88864054774561,1916800
"1970-05-01",53.62,54.25,53.38,54,28200,0,1,0.88864054774561,0.89908149412905,0.88466304436145,0.89493826143721,902400
"1970-05-04",54,54,53.25,53.75,24600,0,1,0.89493826143721,0.89493826143721,0.88250856336169,0.89079502874537,787200
"1970-05-05",53.75,53.87,53.25,53.75,45500,0,1,0.89079502874537,0.89278378043745,0.88250856336169,0.89079502874537,1456000
"1970-05-06",53.75,54.38,53.38,54.38,74500,0,1,0.89079502874537,0.9012359751288,0.88466304436145,0.9012359751288,2384000
"1970-05-07",54.13,54.13,53.38,53.5,36500,0.02813,1,0.89756442877051,0.89756442877051,0.88512819522944,0.88711799259601,1168000
"1970-05-08",53.5,53.62,53,53,46400,0,1,0.88711799259601,0.88910778996258,0.8788271702353,0.8788271702353,1484800
"1970-05-11",53,53.13,52.62,52.75,33700,0,1,0.8788271702353,0.88098278404909,0.87252614524116,0.87468175905495,1078400
"1970-05-12",52.62,52.62,52,52.5,73500,0,1,0.87252614524116,0.87252614524116,0.86224552551388,0.87053634787459,2352000
"1970-05-13",52.25,52.25,51.38,51.62,49100,0,1,0.86639093669424,0.86639093669424,0.8519649057866,0.85594450051974,1571200
"1970-05-14",51.62,52.13,51.5,51.87,50400,0,1,0.85594450051974,0.86440113932767,0.85395470315317,0.8600899117001,1612800
"1970-05-15",51.87,53.87,51.75,53.5,67500,0,1,0.8600899117001,0.89325320114294,0.85810011433353,0.88711799259601,2160000
"1970-05-18",53.5,54.13,53.13,54,39700,0,1,0.88711799259601,0.89756442877051,0.88098278404909,0.89540881495672,1270400
"1970-05-19",53.87,53.87,52.87,52.87,64900,0,1,0.89325320114294,0.89325320114294,0.87667155642152,0.87667155642152,2076800
"1970-05-20",52.87,53,52.62,52.75,38300,0,1,0.87667155642152,0.8788271702353,0.87252614524116,0.87468175905495,1225600
"1970-05-21",52.62,52.62,52,52.5,51600,0,1,0.87252614524116,0.87252614524116,0.86224552551388,0.87053634787459,1651200
"1970-05-22",52.5,53.13,52.13,52.62,46400,0,1,0.87053634787459,0.88098278404909,0.86440113932767,0.87252614524116,1484800
"1970-05-25",52.5,52.5,51.25,51.25,51500,0,1,0.87053634787459,0.87053634787459,0.84980929197282,0.84980929197282,1648000
"1970-05-26",51.25,52.25,51.13,51.38,66400,0,1,0.84980929197282,0.86639093669424,0.84781949460625,0.8519649057866,2124800
"1970-05-27",51.38,53.5,51.38,53.25,72600,0,1,0.8519649057866,0.88711799259601,0.8519649057866,0.88297258141566,2323200
"1970-05-28",53.62,55.25,53.62,55.25,120400,0,1,0.88910778996258,0.9161358708585,0.88910778996258,0.9161358708585,3852800
"1970-05-29",55.25,56.87,54.62,56.75,62900,0,1,0.9161358708585,0.9429981353072,0.90568943468401,0.94100833794063,2012800
"1970-06-01",56.75,56.87,55.5,56.87,57000,0,1,0.94100833794063,0.9429981353072,0.92028128203886,0.9429981353072,1824000
"1970-06-02",56.87,57.13,55.62,56.87,68100,0,1,0.9429981353072,0.94730936293477,0.92227107940543,0.9429981353072,2179200
